name,value
FBtr0337023.1,CG15177
FBtr0081681.1,sunz
FBtr0081682.1,CG31286
FBtr0337022.1,CG1315
FBtr0081699.1,CG1315
FBtr0304903.1,Taf1
FBtr0081684.1,Taf1
FBtr0081686.1,Taf1
FBtr0301622.1,Taf1
FBtr0081685.1,Taf1
FBtr0345257.1,Taf1
FBtr0346140.1,CG1307
FBtr0339933.1,CG1307
FBtr0301623.1,CG1307
FBtr0081687.1,twr
FBtr0081697.1,agt
FBtr0308035.1,lab
FBtr0081696.1,lab
FBtr0081688.1,Edg84A
FBtr0081689.1,Ccp84Ag
FBtr0081695.1,Ccp84Af
FBtr0081694.1,Ccp84Ae
FBtr0081690.1,Ccp84Ad
FBtr0081693.1,Ccp84Ac
FBtr0091948.1,pncr002:3R
FBtr0081692.1,Ccp84Ab
FBtr0081691.1,Ccp84Aa
FBtr0089279.1,pb
FBtr0089278.1,pb
FBtr0089276.1,pb
FBtr0089277.1,pb
FBtr0081671.1,zen2
FBtr0290296.1,zen2
FBtr0112493.1,CG34297
FBtr0081670.1,zen
FBtr0081666.1,bcd
FBtr0081665.1,bcd
FBtr0081668.1,bcd
FBtr0081667.1,bcd
FBtr0081664.1,bcd
FBtr0346240.1,CR45593
FBtr0346239.1,CR45593
FBtr0081618.1,Ama
FBtr0081619.1,Ama
FBtr0081620.1,Ama
FBtr0343900.1,CR44930
FBtr0303008.1,CR42721
FBtr0309069.1,CR42721
FBtr0304176.1,mir-993
FBtr0304177.1,mir-993
FBtr0309070.1,CR43435
FBtr0081621.1,Dfd
FBtr0334273.1,CR42651
FBtr0304380.1,mir-10
FBtr0304382.1,mir-10
FBtr0304381.1,mir-10
FBtr0346989.1,CR45915
FBtr0081662.1,tRNA:CR31485:Psi
FBtr0081622.1,tRNA:K5:84ABd
FBtr0302398.1,7SLRNA:CR42652
FBtr0081661.1,tRNA:K5:84ABc
FBtr0081623.1,tRNA:K5:84ABb
FBtr0081624.1,7SLRNA:CR32864
FBtr0081660.1,tRNA:K5:84ABa
FBtr0081658.1,Scr
FBtr0081657.1,Scr
FBtr0346971.1,CR45901
FBtr0346970.1,CR45901
FBtr0346976.1,CR45902
FBtr0346975.1,CR45903
FBtr0346972.1,CR45904
FBtr0346973.1,CR45905
FBtr0346974.1,CR45900
FBtr0081625.1,ftz
FBtr0343901.1,CR44931
FBtr0346215.1,CR45559
FBtr0343902.1,CR44932
FBtr0081650.1,Antp
FBtr0081652.1,Antp
FBtr0081653.1,Antp
FBtr0081651.1,Antp
FBtr0081648.1,Antp
FBtr0081656.1,Antp
FBtr0081649.1,Antp
FBtr0081647.1,Antp
FBtr0081654.1,Antp
FBtr0081655.1,Antp
FBtr0081646.1,Antp
FBtr0344599.1,CR43252
FBtr0346969.1,CR45899
FBtr0343903.1,CR44933
FBtr0081627.1,Sodh-1
